MQ135 Value,MHMQ7 Value,Timestamp
1687.2,2.45,2024-04-13 23:10:23
1687.2,2.41,2024-04-13 23:10:28
1687.2,2.41,2024-04-13 23:10:33
1687.2,2.41,2024-04-13 23:10:38
1663.31,2.41,2024-04-13 23:10:43
1663.31,2.41,2024-04-13 23:10:48
1663.31,2.41,2024-04-13 23:10:53
1663.31,2.41,2024-04-13 23:10:58
1663.31,2.41,2024-04-13 23:11:03
1663.31,2.41,2024-04-13 23:11:08
1663.31,2.41,2024-04-13 23:11:13
1663.31,2.41,2024-04-13 23:11:18
1663.31,2.41,2024-04-13 23:11:23
1663.31,2.41,2024-04-13 23:11:28
1663.31,2.41,2024-04-13 23:11:33
1663.31,2.41,2024-04-13 23:11:38
1663.31,2.41,2024-04-13 23:11:43
1663.31,2.41,2024-04-13 23:11:48
1663.31,2.41,2024-04-13 23:11:53
1663.31,2.41,2024-04-13 23:11:58
1663.31,2.41,2024-04-13 23:12:03
1663.31,2.41,2024-04-13 23:12:08
1663.31,2.41,2024-04-13 23:12:13
1663.31,2.41,2024-04-13 23:12:18
1663.31,2.41,2024-04-13 23:12:23
1639.69,2.41,2024-04-13 23:12:28
1639.69,2.41,2024-04-13 23:12:33
1639.69,2.41,2024-04-13 23:12:38
1639.69,2.41,2024-04-13 23:12:43
1639.69,2.41,2024-04-13 23:12:48
1639.69,2.41,2024-04-13 23:12:53
1639.69,2.41,2024-04-13 23:12:58
1639.69,2.41,2024-04-13 23:13:03
1663.31,2.41,2024-04-13 23:13:08
1663.31,2.41,2024-04-13 23:13:13
1663.31,2.41,2024-04-13 23:13:18
1663.31,2.41,2024-04-13 23:13:23
1639.69,2.41,2024-04-13 23:13:28
1639.69,2.41,2024-04-13 23:13:33
1616.36,2.41,2024-04-13 23:13:38
1616.36,2.41,2024-04-13 23:13:43
1616.36,2.41,2024-04-13 23:13:48
1616.36,2.41,2024-04-13 23:13:53
1616.36,2.36,2024-04-13 23:13:58
1616.36,2.41,2024-04-13 23:14:03
1616.36,2.41,2024-04-13 23:14:08
1616.36,2.41,2024-04-13 23:14:13
1616.36,2.41,2024-04-13 23:14:18
1616.36,2.41,2024-04-13 23:14:23
1616.36,2.41,2024-04-13 23:14:28
1616.36,2.41,2024-04-13 23:14:33
1616.36,2.41,2024-04-13 23:14:38
1616.36,2.41,2024-04-13 23:14:43
1616.36,2.41,2024-04-13 23:14:48
1616.36,2.41,2024-04-13 23:14:53
1616.36,2.41,2024-04-13 23:14:58
1593.3,2.41,2024-04-13 23:15:03
1593.3,2.41,2024-04-13 23:15:08
1593.3,2.41,2024-04-13 23:15:13
1593.3,2.41,2024-04-13 23:15:18
1593.3,2.41,2024-04-13 23:15:23
1593.3,2.41,2024-04-13 23:15:28
1570.5,2.41,2024-04-13 23:15:33
1570.5,2.41,2024-04-13 23:15:38
1570.5,2.41,2024-04-13 23:15:43
1570.5,2.41,2024-04-13 23:15:48
1570.5,2.41,2024-04-13 23:15:53
1547.98,2.36,2024-04-13 23:15:58
1547.98,2.36,2024-04-13 23:16:03
1547.98,2.36,2024-04-13 23:16:08
1547.98,2.36,2024-04-13 23:16:13
1547.98,2.36,2024-04-13 23:16:18
1525.72,2.36,2024-04-13 23:16:23
1547.98,2.36,2024-04-13 23:16:28
1547.98,2.36,2024-04-13 23:16:33
1525.72,2.36,2024-04-13 23:16:38
1525.72,2.36,2024-04-13 23:16:43
1525.72,2.36,2024-04-13 23:16:48
1525.72,2.36,2024-04-13 23:16:53
1525.72,2.36,2024-04-13 23:16:58
1525.72,2.36,2024-04-13 23:17:03
1525.72,2.41,2024-04-13 23:17:08
1525.72,2.36,2024-04-13 23:17:13
1503.72,2.36,2024-04-13 23:17:18
1503.72,2.36,2024-04-13 23:17:23
1525.72,2.36,2024-04-13 23:17:28
1525.72,2.36,2024-04-13 23:17:33
1525.72,2.36,2024-04-13 23:17:38
1525.72,2.36,2024-04-13 23:17:43
1525.72,2.36,2024-04-13 23:17:48
1525.72,2.36,2024-04-13 23:17:53
1525.72,2.36,2024-04-13 23:17:58
1525.72,2.36,2024-04-13 23:18:03
1525.72,2.36,2024-04-13 23:18:08
1525.72,2.36,2024-04-13 23:18:13
1525.72,2.36,2024-04-13 23:18:18
1525.72,2.36,2024-04-13 23:18:23
1525.72,2.36,2024-04-13 23:18:28
1525.72,2.36,2024-04-13 23:18:33
1525.72,2.36,2024-04-13 23:18:38
1525.72,2.36,2024-04-13 23:18:43
1525.72,2.36,2024-04-13 23:18:48
1525.72,2.36,2024-04-13 23:18:53
1525.72,2.36,2024-04-13 23:18:58
1525.72,2.36,2024-04-13 23:19:03
1525.72,2.41,2024-04-13 23:19:08
1525.72,2.36,2024-04-13 23:19:13
1547.98,2.36,2024-04-13 23:19:18
1525.72,2.36,2024-04-13 23:19:23
1525.72,2.41,2024-04-13 23:19:28
1525.72,2.41,2024-04-13 23:19:33
1525.72,2.41,2024-04-13 23:19:38
1525.72,2.41,2024-04-13 23:19:43
1525.72,2.41,2024-04-13 23:19:48
1525.72,2.41,2024-04-13 23:19:53
1525.72,2.41,2024-04-13 23:19:58
1525.72,2.41,2024-04-13 23:20:03
1525.72,2.41,2024-04-13 23:20:08
1503.72,2.41,2024-04-13 23:20:13
1503.72,2.41,2024-04-13 23:20:18
1503.72,2.41,2024-04-13 23:20:23
1503.72,2.36,2024-04-13 23:20:28
1503.72,2.36,2024-04-13 23:20:33
1503.72,2.36,2024-04-13 23:20:38
1503.72,2.36,2024-04-13 23:20:43
1503.72,2.36,2024-04-13 23:20:48
1503.72,2.36,2024-04-13 23:20:53
1503.72,2.36,2024-04-13 23:20:58
1503.72,2.36,2024-04-13 23:21:03
1503.72,2.36,2024-04-13 23:21:08
1503.72,2.36,2024-04-13 23:21:13
1481.99,2.36,2024-04-13 23:21:18
1481.99,2.36,2024-04-13 23:21:23
1481.99,2.36,2024-04-13 23:21:28
1503.72,2.36,2024-04-13 23:21:33
1503.72,2.36,2024-04-13 23:21:38
1525.72,2.36,2024-04-13 23:21:43
1525.72,2.41,2024-04-13 23:21:48
1525.72,2.41,2024-04-13 23:21:53
1525.72,2.41,2024-04-13 23:21:58
1503.72,2.41,2024-04-13 23:22:03
1481.99,2.41,2024-04-13 23:22:08
1481.99,2.45,2024-04-13 23:22:13
1481.99,2.45,2024-04-13 23:22:18
1481.99,2.45,2024-04-13 23:22:23
1481.99,2.45,2024-04-13 23:22:28
1481.99,2.45,2024-04-13 23:22:33
1481.99,2.45,2024-04-13 23:22:38
1460.51,2.45,2024-04-13 23:22:43
1460.51,2.41,2024-04-13 23:22:48
1460.51,2.45,2024-04-13 23:22:53
1439.29,2.41,2024-04-13 23:22:58
1439.29,2.45,2024-04-13 23:23:03
1460.51,2.45,2024-04-13 23:23:08
1460.51,2.45,2024-04-13 23:23:13
1460.51,2.49,2024-04-13 23:23:18
1460.51,2.45,2024-04-13 23:23:23
1439.29,2.45,2024-04-13 23:23:28
1439.29,2.49,2024-04-13 23:23:33
1460.51,2.49,2024-04-13 23:23:38
1503.72,2.49,2024-04-13 23:23:43
1503.72,2.49,2024-04-13 23:23:48
1503.72,2.53,2024-04-13 23:23:53
1503.72,2.53,2024-04-13 23:23:58
1481.99,2.53,2024-04-13 23:24:03
1481.99,2.53,2024-04-13 23:24:08
1481.99,2.53,2024-04-13 23:24:13
1503.72,2.57,2024-04-13 23:24:18
1503.72,2.61,2024-04-13 23:24:23
1525.72,2.65,2024-04-13 23:24:28
1785.6,3.16,2024-04-13 23:24:33
1336.9,2.28,2024-04-13 23:24:38
1356.89,2.32,2024-04-13 23:24:43
1418.31,2.32,2024-04-13 23:24:48
1418.31,2.32,2024-04-13 23:24:53
1418.31,2.32,2024-04-13 23:24:58
1418.31,2.32,2024-04-13 23:25:03
1418.31,2.32,2024-04-13 23:25:08
1418.31,2.32,2024-04-13 23:25:13
1418.31,2.32,2024-04-13 23:25:18
1418.31,2.32,2024-04-13 23:25:23
1418.31,2.28,2024-04-13 23:25:28
1418.31,2.28,2024-04-13 23:25:33
1397.59,2.28,2024-04-13 23:25:38
1397.59,2.28,2024-04-13 23:25:43
1377.12,2.28,2024-04-13 23:25:48
1377.12,2.28,2024-04-13 23:25:53
1397.59,2.28,2024-04-13 23:25:58
1397.59,2.28,2024-04-13 23:26:03
1397.59,2.28,2024-04-13 23:26:08
1397.59,2.28,2024-04-13 23:26:13
1397.59,2.28,2024-04-13 23:26:18
1397.59,2.28,2024-04-13 23:26:23
1397.59,2.28,2024-04-13 23:26:28
1377.12,2.28,2024-04-13 23:26:33
1377.12,2.28,2024-04-13 23:26:38
1397.59,2.28,2024-04-13 23:26:43
1397.59,2.28,2024-04-13 23:26:48
1397.59,2.28,2024-04-13 23:26:53
1397.59,2.28,2024-04-13 23:26:58
1397.59,2.28,2024-04-13 23:27:03
1397.59,2.28,2024-04-13 23:27:08
1397.59,2.28,2024-04-13 23:27:13
1397.59,2.28,2024-04-13 23:27:18
1397.59,2.28,2024-04-13 23:27:23
1397.59,2.28,2024-04-13 23:27:28
1397.59,2.28,2024-04-13 23:27:33
1397.59,2.28,2024-04-13 23:27:38
1397.59,2.28,2024-04-13 23:27:43
1397.59,2.28,2024-04-13 23:27:48
1397.59,2.28,2024-04-13 23:27:53
1397.59,2.28,2024-04-13 23:27:58
1397.59,2.28,2024-04-13 23:28:03
1397.59,2.28,2024-04-13 23:28:08
1397.59,2.28,2024-04-13 23:28:13
1397.59,2.28,2024-04-13 23:28:18
1397.59,2.28,2024-04-13 23:28:23
1397.59,2.28,2024-04-13 23:28:28
1397.59,2.28,2024-04-13 23:28:33
1397.59,2.28,2024-04-13 23:28:38
